ticker,year,total_assets,current_assets,total_liabilities,current_liabilities,total_equity,retained_earnings,net_revenue,profit_after_tax,ebit,interest_expense,operating_cash_flow,market_cap,current_ratio,working_capital,working_capital_to_assets,ocf_to_current_liabilities,roa,roe,operating_margin,ebit_to_assets,debt_ratio,equity_multiplier,ebit_to_interest,company_size,revenue_growth,assets_growth,altman_x1,altman_x2,altman_x3,altman_x4,altman_z_score,distress_label
AAA,2022,10795832682000,5658759200000,4624647264000,3206482597000,6171185417000,721688031000,15290297073000,117291268000,187294170000,173679773000,97095210000,12342370834000,1.7647871238391757,2452276603000,0.2271502972706038,0.0302809097079905,0.010864494796734,0.0190062783848453,0.0122492172065596,0.0173487470134913,0.4283733733397629,1.749393666289836,1.078387924885185,30.010181312816748,0.0,0.0,0.2271502972706038,0.0668487602816666,0.0173487470134913,2.6688242647342366,4.626881966515004,0
AAA,2023,11583445506000,5681580248000,5619574566000,3737041187000,5963870940000,562622506000,12621514145000,309193823000,368683502000,190476046000,2615215819000,11927741880000,1.5203418864540337,1944539061000,0.167872250099745,0.699809204163315,0.0266927334220067,0.0518444859237681,0.0292107189172745,0.0318284833134518,0.4851384299334053,1.9422696471027252,1.935589853644904,30.08059808319557,-0.1745409468016553,0.0729552640541748,0.167872250099745,0.0485712567740377,0.0318284833134518,2.122534675874964,3.7021330752728,0
AAA,2024,13768215584000,6426369245000,7531941631000,4132594319000,6236273953000,539311729000,12782230561000,319781841000,513663158000,159525374000,958913854000,12472547906000,1.5550447851738431,2293774926000,0.1665992889206055,0.2320367739923808,0.0232260919397294,0.0512777089990036,0.0401857215412185,0.037307896209653,0.5470528540933689,2.2077631110764,3.2199464268298783,30.25338383305337,0.0127335289691583,0.1886114176363442,0.1665992889206055,0.0391707789371581,0.037307896209653,1.6559538717965403,3.2100487025695443,0
AAA,2025,12891604734000,4532817492000,6812374374000,3279775954000,6079230360000,551744951000,10728147401000,423921412000,557083742000,133833487000,977801726000,12158460720000,1.3820509557891587,1253041538000,0.0971982591659251,0.2981306466398954,0.0328835254219329,0.0697327436034189,0.0519273012550212,0.0432129089818245,0.528434939991079,2.120598163021413,4.162513840799799,30.1875974196227,-0.1606983343163309,-0.0636691693743309,0.0971982591659251,0.0427987797007801,0.0432129089818245,1.784761090994028,2.9415344958546026,0
AAC,2018,7340126018500,2570666272150,2417274556795,1395235930684,4922851461704,1956021754251,8918897814230,705035365653,984844052126,103549845060,629634633509,17449288730206,1.842459913492736,1175430341466,0.160137624136623,0.4512746695107889,0.0960522154355434,0.14321686752843,0.1104221701648708,0.1341726354075946,0.3293233046275389,1.4910313820355008,9.510821107992491,29.62437712714056,0.0,0.0,0.160137624136623,0.2664834022360184,0.1341726354075946,7.2185795697703234,10.400387363823542,0
AAC,2019,7821112909720,3422299800101,2453165478479,2136386555681,5367947431240,2153255623349,11070316117677,758401284214,1050617107869,102615502601,746524749509,20885932608038,1.6019103804040271,1285913244420,0.1644156348672424,0.3494333680034959,0.0969684612622669,0.1412832919712123,0.0949039843759639,0.1343308963821892,0.3136593866878243,1.457002515375475,10.238385830980295,29.687847976180805,0.2412201987575681,0.0655284241725175,0.1644156348672424,0.2753132000783361,0.1343308963821892,8.513870259167186,11.818354992798344,0
AAC,2020,8237920210682,4779390864034,2448395722786,1485134606347,5789524487896,1849765329534,12206886282829,1264472740004,1766433236154,185842311148,1238066214543,14112295380269,3.218153319980816,3294256257687,0.3998893134963097,0.8336390582051573,0.1534941717891823,0.2184070112575909,0.1447079292152315,0.2144270872960738,0.2972104196410155,1.4229010047206456,9.505011131438517,29.73976902637502,0.102668266476793,0.05329258198587,0.3998893134963097,0.2245427586365105,0.2144270872960738,5.763894802189406,10.848322858619309,0
AAC,2021,8583431384793,5073694027870,4441658169848,3865613196205,4141773214945,1579137022708,13198604310181,-31787457303,294597964830,334332286458,-47003022263,9369332090360,1.3125198436436971,1208080831665,0.1407456735549048,-0.0121592668167483,-0.0037033507787243,-0.0076748425501182,0.0223203876642287,0.0343217009169468,0.5174688269445654,2.0724049674716394,0.8811532022558893,29.780854877775965,0.0812425056131649,0.0419415538478973,0.1407456735549048,0.1839750272257908,0.0343217009169468,2.109422141929628,3.968585286464246,0
AAC,2022,9138139329573,4790208430367,3002562408161,1870695944060,6135576921411,3657575828728,10257096982972,884011154277,1195806139506,90792196660,1221665786728,19114442471930,2.560655805972796,2919512486307,0.3194865367021516,0.6530541698169292,0.0967386381838311,0.1440795487694258,0.1165832926695711,0.1308588210770777,0.3285748115531635,1.4893692062899768,13.170803037006284,29.843477906225548,-0.2228650286106396,0.0646254300771551,0.3194865367021516,0.4002538916091256,0.1308588210770777,6.366043356826396,10.964376169717545,0
AAC,2023,9640892535073,3899201482584,5357607426613,3216181209652,4283285108460,2252606819604,6415533974871,-325262773757,-112932539467,293645927729,-344110254392,6915993477154,1.212369959404714,683020272932,0.0708461660004208,-0.1069934285292443,-0.0337378279628896,-0.0759376893017387,-0.0176029836190323,-0.0117139091693178,0.5557169532926893,2.250817372869036,-0.384587453129005,29.897034806890957,-0.3745273164988545,0.0550170212302389,0.0708461660004208,0.2336512736148804,-0.0117139091693178,1.2908735049903028,2.503153711569273,0
