ticker,year,total_assets,current_assets,total_liabilities,current_liabilities,total_equity,retained_earnings,net_revenue,profit_after_tax,ebit,interest_expense,operating_cash_flow,market_cap,current_ratio,working_capital,working_capital_to_assets,ocf_to_current_liabilities,roa,roe,operating_margin,ebit_to_assets,debt_ratio,equity_multiplier,ebit_to_interest,company_size,revenue_growth,assets_growth,altman_x1,altman_x2,altman_x3,altman_x4,altman_z_score
AAA,2022,10795832682000,5658759200000,4624647264000,3206482597000,6171185417000,721688031000,15290297073000,117291268000,187294170000,173679773000,97095210000,12342370834000,1.7647871238391755,2452276603000,0.22715029727060382,0.030280909707990536,0.010864494796734013,0.01900627838484536,0.012249217206559634,0.01734874701349137,0.42837337333976294,1.749393666289836,1.078387924885185,30.010181312816748,0.0,0.0,0.22715029727060382,0.06684876028166661,0.01734874701349137,2.6688242647342366,4.626881966515004
AAA,2023,11583445506000,5681580248000,5619574566000,3737041187000,5963870940000,562622506000,12621514145000,309193823000,368683502000,190476046000,2615215819000,11927741880000,1.5203418864540335,1944539061000,0.16787225009974507,0.699809204163315,0.026692733422006742,0.05184448592376816,0.029210718917274565,0.031828483313451866,0.48513842993340534,1.9422696471027254,1.9355898536449039,30.080598083195575,-0.17454094680165533,0.07295526405417485,0.16787225009974507,0.04857125677403778,0.031828483313451866,2.122534675874964,3.7021330752727994
AAA,2024,13768215584000,6426369245000,7531941631000,4132594319000,6236273953000,539311729000,12782230561000,319781841000,513663158000,159525374000,958913854000,12472547906000,1.5550447851738431,2293774926000,0.16659928892060555,0.23203677399238085,0.023226091939729465,0.05127770899900362,0.04018572154121857,0.03730789620965307,0.5470528540933689,2.2077631110764,3.2199464268298783,30.25338383305337,0.012733528969158359,0.18861141763634426,0.16659928892060555,0.03917077893715817,0.03730789620965307,1.6559538717965405,3.2100487025695443
AAA,2025,12891604734000,4532817492000,6812374374000,3279775954000,6079230360000,551744951000,10728147401000,423921412000,557083742000,133833487000,977801726000,12158460720000,1.3820509557891587,1253041538000,0.09719825916592519,0.29813064663989547,0.03288352542193294,0.0697327436034189,0.05192730125502123,0.04321290898182451,0.528434939991079,2.1205981630214126,4.162513840799799,30.1875974196227,-0.16069833431633096,-0.06366916937433098,0.09719825916592519,0.04279877970078011,0.04321290898182451,1.7847610909940281,2.9415344958546026
AAC,2018,7340126018500,2570666272150,2417274556795,1395235930684,4922851461704,1956021754251,8918897814230,705035365653,984844052126,103549845060,629634633509,17449288730206,1.8424599134927362,1175430341466,0.160137624136623,0.4512746695107889,0.09605221543554347,0.14321686752843005,0.11042217016487088,0.13417263540759466,0.32932330462753895,1.4910313820355008,9.510821107992491,29.624377127140562,0.0,0.0,0.160137624136623,0.26648340223601846,0.13417263540759466,7.2185795697703234,10.400387363823542
AAC,2019,7821112909720,3422299800101,2453165478479,2136386555681,5367947431240,2153255623349,11070316117677,758401284214,1050617107869,102615502601,746524749509,20885932608038,1.6019103804040271,1285913244420,0.16441563486724248,0.3494333680034959,0.09696846126226698,0.1412832919712123,0.09490398437596397,0.13433089638218926,0.3136593866878243,1.457002515375475,10.238385830980295,29.687847976180805,0.24122019875756817,0.06552842417251759,0.16441563486724248,0.27531320007833615,0.13433089638218926,8.513870259167186,11.818354992798344
AAC,2020,8237920210682,4779390864034,2448395722786,1485134606347,5789524487896,1849765329534,12206886282829,1264472740004,1766433236154,185842311148,1238066214543,14112295380269,3.2181533199808157,3294256257687,0.3998893134963097,0.8336390582051573,0.15349417178918234,0.21840701125759093,0.14470792921523157,0.21442708729607382,0.2972104196410155,1.4229010047206456,9.505011131438515,29.73976902637502,0.10266826647679306,0.05329258198587006,0.3998893134963097,0.2245427586365105,0.21442708729607382,5.763894802189406,10.848322858619309
AAC,2021,8583431384793,5073694027870,4441658169848,3865613196205,4141773214945,1579137022708,13198604310181,-31787457303,294597964830,334332286458,-47003022263,9369332090360,1.3125198436436973,1208080831665,0.1407456735549048,-0.012159266816748353,-0.0037033507787243287,-0.007674842550118263,0.02232038766422872,0.03432170091694682,0.5174688269445654,2.0724049674716394,0.8811532022558893,29.780854877775965,0.08124250561316493,0.04194155384789733,0.1407456735549048,0.18397502722579087,0.03432170091694682,2.109422141929628,3.968585286464246
AAC,2022,9138139329573,4790208430367,3002562408161,1870695944060,6135576921411,3657575828728,10257096982972,884011154277,1195806139506,90792196660,1221665786728,19114442471930,2.560655805972796,2919512486307,0.31948653670215166,0.6530541698169292,0.09673863818383117,0.14407954876942586,0.11658329266957115,0.1308588210770777,0.3285748115531635,1.4893692062899768,13.170803037006285,29.843477906225548,-0.22286502861063962,0.06462543007715515,0.31948653670215166,0.40025389160912567,0.1308588210770777,6.366043356826396,10.964376169717543
AAC,2023,9640892535073,3899201482584,5357607426613,3216181209652,4283285108460,2252606819604,6415533974871,-325262773757,-112932539467,293645927729,-344110254392,6915993477154,1.2123699594047141,683020272932,0.07084616600042086,-0.10699342852924439,-0.033737827962889655,-0.07593768930173879,-0.017602983619032394,-0.01171390916931789,0.5557169532926893,2.2508173728690357,-0.38458745312900505,29.897034806890954,-0.3745273164988545,0.055017021230238994,0.07084616600042086,0.23365127361488044,-0.01171390916931789,1.2908735049903028,2.503153711569273
